title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
The Theory of Everything,2014-11-26,2014,11.85302,3403.0,7.8,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney', 'David Thewlis', 'Maxine Peake', 'Harry Lloyd', 'Tom Prior', 'Sophie Perry', 'Finlay Wright-Stephens', 'Alice Orr-Ewing', 'Thomas Morrison', 'Michael Marcus', 'Gruffudd Glyn', 'Paul Longley', 'Guy Oliver-Watts', 'Lucy Chappell', 'Charlotte Hope', 'Abigail Cruttenden', 'Nicholas Gerard-Martin', 'Brett Brown', 'Anthony Skrimshire', 'Christian McKay', 'Adam Godley', 'Nicola Sloane', 'Lottie Hamilton', 'Enzo Cilenti', 'Rufus Taylor', 'Delilah Sexton', 'Eileen Davies', 'Simon Chandler', 'Georg Nikoloff', 'Oliver Payne', 'Raffiella Chapman', 'Sam Houston', 'Victoria Emslie', 'Frank Leboeuf', 'Will Barton', 'Lucy Challenger', 'Nicola Victoria Buck', 'Stuart Benson', 'Andrew Bridgmont', 'Jamie Edwards', 'Jumaane Brown']",James Marsh,15000000.0,123726688.0,8.248445866666666
An American Crime,2007-07-27,2007,7.478007,165.0,7.3,"['Ellen Page', 'Catherine Keener', 'Hayley McFarland', 'Nick Searcy', 'Romy Rosemont', 'Ari Graynor', 'Scout Taylor-Compton', 'Tristan Jarred', 'Hannah Leigh', 'Bradley Whitford', 'James Franco', 'Scott Eastwood', ""Michael O'Keefe"", 'Carlie Westerman', 'Michelle Benes', 'Jeremy Sumpter', 'Brian Geraghty', 'Channing Nichols', 'Michael Welch', 'Evan Peters', 'Amy Ferguson', 'Will Carter', 'Edward James Gage', 'Patricia Place', 'Paul Grace', 'James Meehan', 'Paul Palo', 'Gary Sievers']",Tommy O'Haver,2000000.0,0.0,0.0
Battle of the Year,2013-09-21,2013,5.0739,89.0,5.9,"['Josh Holloway', 'Josh Peck', 'Chris Brown', 'Laz Alonso', 'Caity Lotz', 'Terrence Jenkins', 'Weronika Rosati', ""Ivan 'Flipz' Velez"", 'Jesse Erwin', 'Steve Terada', 'Joshua Lee Ayers', 'Luis Rosado', 'Richard Maguire']",Benson Lee,20000000.0,16549477.0,0.82747385
Body of Lies,2008-10-10,2008,12.886125,919.0,6.5,"['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Ali Suliman', 'Simon McBurney', 'Michael Gaston', 'Mehdi Nebbou', 'Golshifteh Farahani', 'Oscar Isaac', 'Alon Aboutboul', 'Vince Colosimo', 'Kais Nashif', 'Jamil Khoury', 'Lubna Azabal', 'Ghali Benlafkih', 'Clara Khoury', 'Giannina Facio', 'Annabelle Wallis', 'Xanthe Elbrick']",Ridley Scott,70000000.0,113280098.0,1.6182871142857143
This Christmas,2007-11-27,2007,2.501209,30.0,7.2,"['Loretta Devine', 'Delroy Lindo', 'Idris Elba', 'Regina King', 'Laz Alonso', 'Lauren London', 'Chris Brown']",Preston A. Whitmore II,13000000.0,0.0,0.0
TMNT,2007-03-23,2007,11.358363,349.0,6.0,"['Chris Evans', 'Sarah Michelle Gellar', 'Mako', 'Kevin Smith', 'Patrick Stewart', 'Zhang Ziyi', 'Laurence Fishburne', 'Mitchell Whitfield', 'James Arnold Taylor', 'Mikey Kelley', 'Nolan North', 'John DiMaggio', 'Paula Mattioli', 'Kevin Michael Richardson', 'Fred Tatasciore']",Kevin Munroe,34000000.0,95608995.0,2.8120292647058824
Hannibal Rising,2007-02-06,2007,2.159558,666.0,6.0,"['Gaspard Ulliel', 'Aaran Thomas', 'Gong Li', 'Dominic West', 'Rhys Ifans', 'Richard Brake', 'Kevin McKidd', 'Stephen Walters', 'Ivan Marevich', 'Helena-Lia Tachovská', 'Richard Leaf', 'Ingeborga Dapkunaite', 'Michele Wade', 'Martin Hub', 'Joerg Stadler', 'Hugh Ross', 'Robbie Kay']",Peter Webber,50000000.0,82169884.0,1.64339768
The Good Girl,2002-01-12,2002,4.388338,183.0,6.1,"['Jennifer Aniston', 'Jake Gyllenhaal', 'Zooey Deschanel', 'John C. Reilly', 'Deborah Rush', 'Mike White', 'John Carroll Lynch', 'Tim Blake Nelson', 'John Doe', 'Roxanne Hart', 'Aimee Garcia', ""Annie O'Donnell"", 'Jon Shere', 'Alice Amter', 'Jean Rhodes', 'Lalo Guerrero', 'Michael Hyatt', 'Enzo', 'Ken Rudulph', 'Jacquie Barnbrook']",Miguel Arteta,8000000.0,16856124.0,2.1070155
Outbreak,1995-03-10,1995,13.676444,522.0,6.4,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman', 'Kevin Spacey', 'Cuba Gooding Jr.', 'Donald Sutherland', 'Patrick Dempsey', 'Benito Martinez', 'Malick Bowens', 'Zakes Mokae', 'Bruce Jarchow', 'Dale Dye', 'Conrad Bachmann', 'Susan Lee Hoffman']",Wolfgang Petersen,50000000.0,189859560.0,3.7971912
Heaven is for Real,2014-04-16,2014,7.88371,234.0,6.1,"['Greg Kinnear', 'Kelly Reilly', 'Connor Corum', 'Thomas Haden Church', 'Jon Ted Wynne', 'Jacob Vargas', 'Lane Styles', 'Darren Felbel', 'Darcy Fehr', 'Ali Tataryn']",Randall Wallace,12000000.0,101332962.0,8.4444135
9th Company,2005-09-19,2005,9.586723,65.0,6.8,"['Aleksey Chadov', 'Konstantin Kryukov', 'Ivan Kokorin', 'Artyom Mikhalkov', 'Soslan Fidarov', 'Ivan Nikolaev', 'Михаил Пореченков', 'Amadu Mamadakov', 'Marat Gudiev', 'Aleksandr Bashirov', 'Andrey Krasko', 'Fyodor Bondarchuk', 'Artur Smolyaninov', 'Irina Rakhmanova', 'Mikhail Evlanov']",Fyodor Bondarchuk,9500000.0,24000000.0,2.526315789473684
The Glass House,2001-09-14,2001,6.418936,203.0,5.4,"['Leelee Sobieski', 'Diane Lane', 'Stellan Skarsgård', 'Bruce Dern', 'Kathy Baker', 'Trevor Morgan', 'Chris Noth', ""Michael O'Keefe"", ""Gavin O'Connor"", 'Vyto Ruginis', 'Carly Pope', 'China Shavers', 'Agnes Bruckner', 'Michael Paul Chan', 'Rachel Wilson', 'Rutanya Alda', 'John Billingsley', 'Maia Danziger', 'January Jones']",Daniel Sackheim,30000000.0,23619609.0,0.7873203
Ratter,2015-01-24,2015,5.78016,102.0,5.1,"['Ashley Benson', 'Matt McGorry', 'Michael William Freeman', 'Rebecca Naomi Jones', 'Alex Cranmer', 'Karl Glusman', 'Kaili Vernoff', 'Jeremy Fiorentino', 'John Anderson', 'Tali Custer']",Branden Kramer,500000.0,0.0,0.0
Fantastic Four,2005-06-29,2005,19.382082,3040.0,5.5,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington', 'Hamish Linklater', 'Laurie Holden', 'David Parker', 'Kevin McNulty', 'Maria Menounos', 'Michael Kopsa', 'Andrew Airlie', 'Pascale Hutton', 'Douglas Weston', 'Stan Lee', 'Sam Rubin', 'G. Michael Gray', 'Patrick Stoner']",Tim Story,100000000.0,330579719.0,3.30579719
Get Out,2017-02-24,2017,36.894806,2978.0,7.2,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener', 'Caleb Landry Jones', 'Stephen Root', 'Keith Stanfield', 'LilRel Howery', 'Betty Gabriel', 'Marcus Henderson', 'Zailand Adams', 'Erika Alexander', 'Ashley LeConte Campbell', 'Lyle Brocato', 'Julie Ann Doan', 'Geraldine Singer', 'Trey Burvant', 'Jana Allen', 'Jeronimo Spinx', 'Caren L. Larkey', 'Ben Ladner', 'Rutherford Cravens', 'Brad Spiers', 'Mark Baynard Baggs', 'Lory Tom Thompson Sr.', 'Michael Amstutz', 'Gary Wayne Loper', 'Jack Teague', 'Jamie Gliddon', 'Matthew McCrocklin', 'Evan Shafran', 'Lyle Brocato', 'Sean Paul Braud', 'Ian Casselberry', 'Richard Herd']",Jordan Peele,5000000.0,252434250.0,50.48685
Stay Tuned,1992-08-14,1992,13.72021,51.0,6.0,"['John Ritter', 'Pam Dawber', 'David Tom', 'Heather McComb', 'Jeffrey Jones', 'Eugene Levy', 'Don Calfa', 'Erik King', 'Susan Blommaert', 'Bob Dishy', 'Joyce Gordon']",Peter Hyams,25000000.0,10736401.0,0.42945604
Firestarter,1984-05-11,1984,7.048087,174.0,5.9,"['David Keith', 'Drew Barrymore', 'Freddie Jones', 'Heather Locklear', 'Martin Sheen', 'George C. Scott', 'Art Carney', 'Louise Fletcher', 'Moses Gunn', 'Antonio Fargas', 'Drew Snyder', 'Curtis Credel', 'Keith Colbert', 'Dick Warlock', 'Jeff Ramsey']",Mark L. Lester,15000000.0,17080167.0,1.1386778
Hairspray,2007-07-13,2007,7.768045,738.0,6.5,"['John Travolta', 'Michelle Pfeiffer', 'Christopher Walken', 'James Marsden', 'Queen Latifah', 'Nikki Blonsky', 'Zac Efron', 'Amanda Bynes', 'Elijah Kelley', 'Brittany Snow', 'Allison Janney', 'Taylor Parks', 'Jayne Eastwood', 'Paul Dooley', 'Jerry Stiller', 'Darren Frost', 'John Waters', 'Joe Parro', 'Nick Loren', 'Bryan Hindle', 'Sheldon Smith', 'Greg Farkas', 'Bruce McFee', 'Christian Hagen', 'John Andersen', 'Neil Crone', 'George King', 'James Kirchner', 'Brendan Wall', 'Ted Ludzik', 'Ron Pardo', 'Geri Hall', 'Seth Howard', 'Ricki Lake', 'Adam Shankman', 'Marc Shaiman', 'Scott Wittman', 'Anne Fletcher', 'Joey Pizzi', 'Zachary Woodlee', 'Laura Edwards', 'Becca Sweitzer', 'Cassie Silva', 'Tiffany Engen', 'Brooke Engen', 'Sarah Jayne Jensen', 'Hayley Podschun', 'Nick Baga', 'Curtis Holbrook', 'J.P. Ferreri', 'Spencer Liff', 'Phillip Spaeth', 'Tabitha Lupien', 'Kelly Fletcher', 'Jesse Weafer', 'Corey Gorewicz', 'Josh Feldman', 'Everett Smith', 'Ariel Reid', 'Whitney Brown', 'Jason Dolphin', 'Anthony Carr', 'Chris Andrew Robinson', 'Sarah Francis', 'Starr Domingue', 'Shawn Byfield', 'Shane Simpson', 'Jade Anderson', 'Rhonda Roberts', 'Jennifer Abbey', 'Sherisse Springer', 'Vanessa Cobham', 'Eboni Nichols', 'Holly Alexis Hyman', 'Jamal Sims', 'Damon Butler', 'Stephen Boss', 'Marc Spaulding', 'Arike Rice', 'Tanee McCall', 'Nadine Ellis', 'Reggie Jackson', 'Tramaine Montell Ford', 'Khetanya Henderson', 'Loriel Hennington', 'Daniel Dyer', 'Kristen Munro', 'Ingrid Gaynor', 'Stacey Martino', 'Sal Scozzari', 'Charles Seminerio', 'Alison Smyth', 'Christine Moore', 'Emily Andrews', 'Julianne Jackson', 'Laura Lawson', 'Melissa Leifer', 'Janelle Hutchison', 'Jenny Parsons', 'Susan Henley', 'Gerry Mendicino', 'Nick Settimi', 'Kyle Golemba', 'Tiffany Green', 'Rachael Dolan', 'Kristina Uranowski', 'Charlotte Szivak', 'Deborah Overes', 'Mary McCandless', 'Sharron Matthews', 'Jeffrey James', 'Carla Guiliani', 'Chantelle Leonardo', 'Melissa Williams', 'Krystal Kiran', 'Jessica Dawson', 'Sheri Godfrey', 'Jessica Keeling', ""Romina D'Ugo"", 'Julia Juhas', 'Cindy Willems', 'Faye Rauw', 'Niky Johnson', 'Shannon Whelan', 'Diana Coatsworth', 'Keri Tkacz', 'Krista Leis', 'Sammy Rosen', 'Stephen Findlay', 'Mike Cota', 'Dennis Lupien', 'Serge Kushnier', 'Austin Di Iulio', 'Chad McFadden', 'Ted Banfalvi', 'Shaun Amyot', 'Blaine Totten', 'Glen Kerr', 'Paul Gordon', 'Gerard McIsaac', 'Josh Epstein', 'Derek Gilroy', 'A. Frank Ruffo', 'Darcy Evans', 'Marc Kimelman', 'Larry Mannell', 'Wally Michaels', 'Matthew Caruso', 'Lyne Tremblay', 'Mary Pitt', 'Janice Luey', 'Dondraico Johnson']",Adam Shankman,50000000.0,90450008.0,1.80900016
The Cutting Edge: Going for the Gold,2006-02-07,2006,6.865148,24.0,5.5,"['Christy Carlson Romano', 'Ross Thomas', 'Scott Thompson Baker', 'Kim Kindrick', 'Faune A. Chambers', 'Ryan Hansen', 'Sean McNamara', 'Christine Lakin', 'Oksana Baiul', 'Kayla Carlson', 'Don Swayze']",Sean McNamara,3000000.0,0.0,0.0
Secrets Of State,2008-12-10,2008,8.545117,31.0,5.5,"['Gérard Lanvin', 'Vahina Giocante', 'Nicolas Duvauchelle', 'Mehdi Nebbou', 'Rachida Brakni', 'Simon Abkarian', 'Aurélien Wiik', 'Nicolas Marié', 'Katia Lewkowicz', 'Kamel Belghazi', 'Djemel Barek', 'Carim Messalti', 'Hassam Ghancy', 'Salem Kali', 'Moussa Maaskri', 'Saïd Amadis', 'Catherine Hiegel', 'Jil Milan', 'Asil Raïs', 'Anatole Taubman', 'Bertrand Combe', 'Bertrand Liebert', 'Gérard Lecaillon', 'Emmanuel Vieilly', 'Jérôme Bertin', 'Reda Samoudi', 'Serge Biavan', 'Eric Dénécé', 'Antoine Sfeir', 'Malek Chebel', 'Anne Giudicelli', 'Stéphanie Berthomet', 'William Cagnard', 'Warren Zavatta', 'Paco Boublard', 'Patrick Guérineau', 'Benjamin Penemaria', 'Thierry Angelvi', 'Jérémy Bardeau', 'Joffrey Platel', 'Didier Nobletz', 'Mohamed Oubajjit', 'Jean-David Stepler', 'Charley Fouquet', 'David Kruger', 'Jean-Pierre Loustau', 'Mahmoud Said', 'Célia Levadoux', 'Nasri Sayegh', 'Driss Roukhe', 'Mohammed Taleb', 'Karim Doukkali', 'Abdelghafar Essalfi', 'Bruno Flender', 'Michaël Vander-Meiren', 'Ruben Alves', 'Big John', 'Alexandre Ottoveggio']",Philippe Haïm,15000000.0,0.0,0.0
The Hexer,2001-11-09,2001,1.372661,15.0,5.4,"['Michal Zebrowski', 'Zbigniew Zamachowski', 'Maciej Kozłowski', 'Grażyna Wolszczak']",Marek Brodzki,4600000.0,0.0,0.0
The Boogey Man,1980-11-07,1980,2.241945,29.0,5.0,"['Suzanna Love', 'Ron James', 'John Carradine', 'Nicholas Love', 'Raymond Boyden', 'Felicite Morgan', 'Bill Rayburn', 'Llewelyn Thomas', 'Gillian Gordon']",Ulli Lommel,300000.0,0.0,0.0
The Amazing Catfish,2013-08-10,2013,1.573126,17.0,5.7,"['Lisa Owen', 'Ximena Ayala', 'Sonia Franco', 'Wendy Guillén', 'Andrea Baeza', 'Alejandro Ramírez-Muñoz', 'Vera Wilson', 'Cynthia Bordes', 'José Manuel Orozco Angulo', 'Sara Isabel Quintero', 'Antón Araiza', 'Carlos Hugo Hoeflich', 'Miriam Carsi', 'Sofía López', 'Rocío Montiel']",Claudia Sainte-Luce,1300000.0,0.0,0.0
Cop,1988-01-01,1988,2.478231,18.0,6.6,"['James Woods', 'Lesley Ann Warren', 'Charles Durning', 'Charles Haid', 'Raymond J. Barry', 'Randi Brooks', 'Steven Lambert', 'Christopher Wynne', 'Jan McGill', 'Vicki Wauchope']",James B. Harris,2.0,0.0,0.0
The Purple Rose of Cairo,1985-03-01,1985,6.133697,206.0,7.3,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman', 'Stephanie Farrow', 'Edward Herrmann', 'John Wood', 'Deborah Rush', 'Van Johnson', 'Zoe Caldwell', ""Milo O'Shea"", 'Dianne Wiest', 'Glenne Headly']",Woody Allen,15000000.0,10631333.0,0.7087555333333333
One Man and his Cow,2015-09-30,2015,4.199624,84.0,7.1,"['Fatsah Bouyahmed', 'Lambert Wilson', 'Jamel Debbouze', 'Julia Piaton', 'Hajar Masdouki', 'Abdellah Chakiri', 'Amal El Atrache', 'Miloud Khetib', 'Christian Ameri', 'Karina Marimon', 'Patrice Thibaud', 'Charline Paul', 'Catherine Davenier', 'François Bureloup', 'Pierre Diot', 'Brigitte Guedj', 'Ophélia Kolb', 'Malik Bentalha', 'Fehd Benchemsi', 'Jérôme Rodriguez', 'Valérie Furet', 'Adam Fellahi', 'Vincent Chaumont', 'Norbert Haberlick', 'Renaud Champmartin', 'Frédéric Epaud', 'Samuel Djian', 'Younes Arbouja', 'Thor Schenker']",Mohamed Hamidi,5300000.0,0.0,0.0
Exiled,2006-09-06,2006,8.311721,46.0,7.0,"['Anthony Wong', 'Francis Ng', 'Simon Yam', 'Nick Cheung', 'Richie Ren', 'Roy Cheung', 'Josie Ho', 'Lam Suet', 'Gordon Lam Ka-Tung', 'Eddie Cheung Siu-Fai', 'Ellen Chan', 'Tam Bing-Man', 'Hui Siu-Hung', 'Ronald Yan', 'Wah Wo Wong']",Johnnie To,4500000.0,0.0,0.0
Superfast!,2015-03-05,2015,5.885213,94.0,4.5,"['Alex Ashbaugh', 'Dale Pavinkski', 'Lili Mirojnick', 'Andrea Navedo']",Jason Friedberg,20000000.0,0.0,0.0
Flash Point,2007-07-26,2007,7.039209,70.0,6.8,"['Donnie Yen', 'Louis Koo', 'Collin Chou', 'Ray Lui', 'Xing Yu', 'Fan Bingbing', 'Kent Cheng', 'Xu Qing', 'Teresa Ha Ping', 'Helena Law Lan', 'Tony Ho Wah-Chiu', 'Irene Wong', 'Timmy Hung', 'Aaron Leung', 'Ben Lam', 'Austin Wai', 'Ai Wai', 'Wong Chi-Wai', 'Kenji Tanigaki']",Wilson Yip,8000000.0,0.0,0.0
The Paperboy,2012-09-14,2012,5.526878,244.0,5.4,"['Zac Efron', 'Matthew McConaughey', 'Nicole Kidman', 'John Cusack', 'David Oyelowo', 'Macy Gray', 'Scott Glenn', 'Nealla Gordon', 'Ned Bellamy', 'Gary Clarke', 'Nikolette Noel', 'Peter Murnik', 'Kevin Waterman', 'Katarzyna Wolejnio', 'Nicole Barré', 'Camille Balsamo', 'Leslie Hippensteel', 'Stiggidy Steve']",Lee Daniels,12500000.0,1353868.0,0.10830944
Walking With Dinosaurs,2013-12-18,2013,8.883866,136.0,5.2,"['Charlie Rowe', 'Justin Long', 'Karl Urban', 'Angourie Rice', 'John Leguizamo', 'Skyler Stone', 'Tiya Sircar', 'Clay Savage', 'Michael Leone', 'Katie Silverman', 'Madison Moellers', 'Mary Mouser']",Neil Nightingale,80000000.0,126546518.0,1.581831475
Bullit & Ripper,2012-12-02,2012,2.754608,48.0,5.6,"['Kad Merad', 'Olivier Baroux', 'Audrey Fleurot', 'Laurent Lafitte', 'Omar Sy', 'Guy Lecluyse', 'Jean-Claude Tran', 'Laurence Arné']",Kad Merad,9000000.0,0.0,0.0
Miracle at St. Anna,2008-09-15,2008,11.221186,90.0,6.3,"['Derek Luke', 'Michael Ealy', 'Laz Alonso', 'John Turturro', 'Valentina Cervi', 'Joseph Gordon-Levitt', 'John Leguizamo', 'Kerry Washington', 'D. B. Sweeney', 'Omar Benson Miller', 'Pierfrancesco Favino', 'Omari Hardwick', 'Omero Antonutti', 'Christian Berkel', 'Alexandra Maria Lara', 'Waldemar Kobus', 'Oliver Korittke', 'Alexander Beyer', 'Walton Goggins', 'Matteo Sciabordi', 'John Hawkes', 'Sergio Albelli', 'Robert John Burke', 'Michael Kenneth Williams', 'André Holland']",Spike Lee,45000000.0,9323833.0,0.20719628888888889
Code of Honor,2016-05-06,2016,2.202722,17.0,4.1,"['Steven Seagal', 'Craig Sheffer', 'Louis Mandylor', 'Helena Mattsson', 'Griff Furst', 'Michael Flynn', 'R. D. Call', 'James Russo', 'Scott Takeda', 'Marc Winnick', 'Rafael Petardi', 'Nathan Stevens']",Michael Winnick,8000000.0,0.0,0.0
A Life Less Ordinary,1997-10-24,1997,15.996171,130.0,6.2,"['Ewan McGregor', 'Cameron Diaz', 'Holly Hunter', 'Delroy Lindo', 'Dan Hedaya', 'Stanley Tucci', 'Ian McNeice', 'Tony Shalhoub', 'Christopher Gorham', 'Ian Holm', 'Maury Chaykin', 'Anne Cullimore Decker', 'K. K. Dodds', 'Timothy Olyphant', 'Dane Stevens']",Danny Boyle,12000000.0,0.0,0.0
Beastmaster 2: Through the Portal of Time,1991-06-08,1991,4.038283,17.0,4.6,"['Marc Singer', 'Kari Wuhrer', 'Sarah Douglas', 'Wings Hauser', 'Robert Fieldsteel', 'Arthur Malet', ""Robert Z'Dar"", 'James Avery', 'Paul Goodman', 'Mark Roberts', 'Michael Berryman', 'David Carrera', 'Carl Ciarfalio', 'Larry Dobkin', 'Jim Eagle', 'Gordon Greene', 'Lawrence Mandley', 'Dick Warlock', 'Vic Trevino', 'Wayne Pére', 'Rex Pierson', 'Frank Welker', 'Dan Woren']",Sylvio Tabet,6000000.0,869325.0,0.1448875
A Night in Old Mexico,2013-11-08,2013,3.343938,30.0,5.3,"['Robert Duvall', 'Jeremy Irvine', 'Angie Cepeda', 'Luis Tosar', 'Joaquín Cosio', 'Rene Rhi', 'Eric A. Williams', 'Sonny Carl Davis', 'Javier Gutiérrez', 'Jim Parrack', 'James Landry Hébert', 'Michael Ray Escamilla', 'Abraham Benrubi', 'C.K. McFarland', 'Renée Victor', 'Billy Joe Shaver', 'Marc De La Garza', 'Carrol Lynn Andersson', 'Jose Gavito', 'Toby Metcalf', 'Ray Perez', 'Alejandrina Betancourt', 'Anthony Betancourt', 'Alan Jones', 'José Solis', 'Gilberto Flores', 'Gilberto Ortiz', 'Yanko Artidiello', 'José D. Cantú', 'Viridiana Garza', 'Antonio López-Valero']",Emilio Aragón,2000000.0,0.0,0.0
The Naked Gun 2½: The Smell of Fear,1991-06-28,1991,9.794569,556.0,6.6,"['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy', 'O.J. Simpson', 'Robert Goulet', 'Richard Griffiths', 'Jacqueline Brookes', 'Anthony James', 'Lloyd Bochner', ""Tim O'Connor"", 'Peter Mark Richman', 'Ed Williams', 'Peter Van Norden', 'Gail Neely', 'Mel Tormé', 'Zsa Zsa Gábor', 'Gina Mastrogiacomo', 'David Zucker']",David Zucker,23000000.0,86930411.0,3.7795830869565217
